image_path,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g,Pre_GSHH_NDVI,Height_Ave_cm,State,Species,year,month,day_of_year,season
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1437386574.jpg,5.0001,3.7122,44.1677,52.88,49.1678,0.75,6.0,Vic,Phalaris_Clover,2015,9,273,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1859251563.jpg,0.0,6.9,119.6,126.5,119.6,0.83,70.0,NSW,Lucerne,2015,1,15,Winter
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1859792585.jpg,0.7708,30.83,22.6087,54.2095,23.3794,0.62,4.0,Tas,Ryegrass,2015,5,138,Spring
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1868719645.jpg,4.8348,2.4174,20.5478,27.8,25.3826,0.77,4.0,Vic,Ryegrass_Clover,2015,7,183,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1874904894.jpg,0.0,29.1542,4.1458,33.3,4.1458,0.3,3.0,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,2015,10,286,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1876271942.jpg,0.0,8.3614,47.9386,56.3,47.9386,0.68,10.0,NSW,Ryegrass,2015,2,55,Winter
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1880764911.jpg,5.9821,21.9343,15.1546,43.0709,21.1367,0.52,5.0,Tas,Ryegrass,2015,5,138,Spring
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1888700589.jpg,1.62,0.0,20.9,22.52,22.52,0.64,2.0,WA,Clover,2015,7,189,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1889150649.jpg,2.48,0.0,0.0,2.48,2.48,0.32,1.0,WA,SubcloverLosa,2015,9,244,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1894998379.jpg,13.4778,35.0985,8.4236,57.0,21.9015,0.42,4.3,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,2015,10,286,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1899025384.jpg,0.4133,8.6803,11.1604,20.254,11.5737,0.7,4.0,Tas,Ryegrass_Clover,2015,6,177,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1920959057.jpg,3.5619,2.6714,12.4667,18.7,16.0286,0.74,3.0,Vic,Ryegrass_Clover,2015,7,183,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1946311744.jpg,28.5594,2.8017,40.3989,71.76,68.9583,0.83,8.0,Vic,Ryegrass_Clover,2015,9,272,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1948354837.jpg,0.0,14.4659,19.0341,33.5,19.0341,0.63,5.0,NSW,Fescue_CrumbWeed,2015,1,15,Winter
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1952813879.jpg,0.5875,8.225,3.525,12.3375,4.1125,0.68,3.5,Vic,Ryegrass,2015,6,177,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1953171547.jpg,0.692,58.7479,15.989,75.4289,16.681,0.44,5.5,Tas,Ryegrass_Clover,2015,9,247,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1953218650.jpg,3.8,5.2,6.7,15.7,10.5,0.5,3.1667,Tas,Ryegrass_Clover,2015,11,314,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1954669045.jpg,6.859,10.469,18.772,36.1,25.631,0.78,2.8,Vic,Phalaris_Clover,2015,6,181,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1962197151.jpg,0.0,0.0,22.0,22.0,22.0,0.72,35.0,NSW,Lucerne,2015,4,91,Spring
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1962379474.jpg,1.4451,40.1734,17.341,58.9595,18.7861,0.55,5.1667,Tas,Ryegrass_Clover,2015,11,314,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1963715583.jpg,0.34,0.0,0.7,1.04,1.04,0.16,1.0,WA,Clover,2015,7,189,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1970522802.jpg,0.0,13.5089,32.8911,46.4,32.8911,0.55,4.0,NSW,Fescue,2015,5,127,Spring
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1976436386.jpg,7.9555,25.2703,26.6742,59.9,34.6297,0.52,6.0,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,2015,10,287,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1980675327.jpg,2.6598,9.0024,14.7312,26.3934,17.391,0.59,1.0,Tas,Ryegrass_Clover,2015,6,177,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1982662138.jpg,0.0,1.1594,35.9406,37.1,35.9406,0.79,33.0,NSW,Lucerne,2015,4,91,Spring
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1988033238.jpg,4.8803,12.4718,21.1479,38.5,26.0282,0.76,3.2,Vic,Phalaris_Clover,2015,8,230,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1989506559.jpg,15.202,8.1077,28.377,51.6867,43.579,0.8,4.3333,Tas,Ryegrass_Clover,2015,11,314,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1993907137.jpg,0.1834,12.8356,15.9528,28.9718,16.1362,0.5,3.0,Tas,Ryegrass,2015,5,138,Spring
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID1997244125.jpg,0.0,46.0672,4.1536,50.2208,4.1536,0.4,3.0,Tas,Ryegrass_Clover,2015,6,177,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2002797732.jpg,0.55,3.3,9.35,13.2,9.9,0.66,2.0,Vic,Phalaris_Clover,2015,7,182,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2003438517.jpg,5.2,2.08,13.52,20.8,18.72,0.74,4.0,Vic,Ryegrass_Clover,2015,7,183,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2006686196.jpg,0.0,38.8581,28.0419,66.9,28.0419,0.46,9.3333,Vic,Phalaris_Clover_Ryegrass_Barleygrass_Bromegrass,2015,10,287,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2010625680.jpg,37.5911,0.0,5.0589,42.65,42.65,0.75,3.0,WA,Clover,2015,7,189,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2014192906.jpg,0.5,7.0,3.0,10.1912,3.5,0.63,3.0,Vic,Ryegrass,2015,6,177,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2030696575.jpg,2.1,2.6,1.6,6.3,3.7,0.31,1.1667,Tas,Clover,2015,11,313,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2037861084.jpg,0.0,12.2169,28.6831,40.9,28.6831,0.77,3.8,Vic,Phalaris_Clover,2015,6,181,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2052442675.jpg,0.0,2.7,14.5,17.2,14.5,0.43,2.0,Tas,Ryegrass_Clover,2015,5,139,Spring
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2052993274.jpg,0.0,1.7764,103.6236,105.4,103.6236,0.66,32.0,NSW,Phalaris,2015,2,55,Winter
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2053315094.jpg,0.0,17.8111,50.8889,68.7,50.8889,0.57,12.0,NSW,Fescue,2015,2,56,Winter
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2056023629.jpg,0.0,25.1357,57.6643,82.8,57.6643,0.68,12.0,NSW,Fescue,2015,2,56,Winter
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2056982009.jpg,4.0868,1.5598,30.8534,36.5,34.9402,0.72,3.0,Vic,Ryegrass_Clover,2015,9,272,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2069766023.jpg,1.8208,32.7742,6.1907,40.7857,8.0115,0.44,5.0,Tas,Ryegrass_Clover,2015,6,177,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2086966681.jpg,3.804,30.7245,1.7557,36.2842,5.5597,0.57,3.0,Tas,WhiteClover,2015,6,180,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2089023774.jpg,17.5189,1.3042,33.4869,52.31,51.0058,0.81,5.0,Vic,Ryegrass_Clover,2015,9,272,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2091439402.jpg,1.0962,4.9327,22.4712,28.5,23.5673,0.82,3.5,Vic,Phalaris_Ryegrass_Clover,2015,6,177,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2096636211.jpg,2.6,32.2,11.4,46.2,14.0,0.38,2.8,Vic,Phalaris_BarleyGrass_SilverGrass_SpearGrass_Clover_Capeweed,2015,10,286,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2099464826.jpg,0.0,25.28,69.52,94.8,69.52,0.65,10.6667,NSW,Fescue,2015,10,279,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2099742797.jpg,4.14,1.38,15.18,20.7,19.32,0.75,2.0,Vic,Ryegrass_Clover,2015,7,183,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2125100696.jpg,14.8364,4.9455,34.6182,54.4,49.4545,0.8,5.0,Vic,Phalaris_Clover,2015,8,226,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2131261930.jpg,6.744,42.7122,31.4721,80.9283,38.2161,0.73,4.5,Tas,Ryegrass_Clover,2015,11,313,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID2145635095.jpg,0.0,17.5621,22.7022,40.2643,22.7022,0.73,6.0,Tas,Ryegrass,2015,7,182,Summer
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID380752847.jpg,0.0,0.0,58.98,58.98,58.98,0.81,14.0,WA,Ryegrass,2015,9,244,Autumn
C:/Users/amant/Desktop/csiro_segmentation/data/train/ID383231615.jpg,3.1698,5.7057,24.7245,33.6,27.8943,0.86,4.0,Vic,Phalaris_Ryegrass_Clover,2015,6,177,Summer
